start	end	start_prox	end_prox	chrom	start_orig	end_orig	value	mid	absmid
745	2232.0	1750000.0	1750000.0	chr8	1750745	1752232	0.207971	1488.5	1488.5
2232	3266.0	1750000.0	1750000.0	chr8	1752232	1753266	0.00621284	2749.0	2749.0
3266	5403.0	1750000.0	1750000.0	chr8	1753266	1755403	0.000562966	4334.5	4334.5
5403	9878.0	1750000.0	1750000.0	chr8	1755403	1759878	0.150926	7640.5	7640.5
9878	11752.0	1750000.0	1750000.0	chr8	1759878	1761752	0.00557104	10815.0	10815.0
11752	18012.0	1750000.0	1750000.0	chr8	1761752	1768012	0.231748	14882.0	14882.0
18012	18870.0	1750000.0	1750000.0	chr8	1768012	1768870	5.11016	18441.0	18441.0
18870	20223.0	1750000.0	1750000.0	chr8	1768870	1770223	0.023927	19546.5	19546.5
20223	22924.0	1750000.0	1750000.0	chr8	1770223	1772924	6.66092e-07	21573.5	21573.5
22924	25000.0	1750000.0	1750000.0	chr8	1772924	1775583	1.30037e-07	23962.0	23962.0
-24417	-25000.0	1800000.0	1800000.0	chr8	1772924	1775583	1.30037e-07	-24708.5	24708.5
-20729	-24417.0	1800000.0	1800000.0	chr8	1775583	1779271	0.00352414	-22573.0	22573.0
-19977	-20729.0	1800000.0	1800000.0	chr8	1779271	1780023	0.0241349	-20353.0	20353.0
-19874	-19977.0	1800000.0	1800000.0	chr8	1780023	1780126	0.000564998	-19925.5	19925.5
-16311	-19874.0	1800000.0	1800000.0	chr8	1780126	1783689	0.0313438	-18092.5	18092.5
-14966	-16311.0	1800000.0	1800000.0	chr8	1783689	1785034	0.868824	-15638.5	15638.5
-10398	-14966.0	1800000.0	1800000.0	chr8	1785034	1789602	0.141821	-12682.0	12682.0
-7887	-10398.0	1800000.0	1800000.0	chr8	1789602	1792113	3.04368	-9142.5	9142.5
-2954	-7887.0	1800000.0	1800000.0	chr8	1792113	1797046	0.141821	-5420.5	5420.5
0	-2954.0	1800000.0	1800000.0	chr8	1797046	1800000	0.037724	-1477.0	1477.0
0	775.0	1800000.0	1800000.0	chr8	1800000	1800775	0.0617542	387.5	387.5
775	1620.0	1800000.0	1800000.0	chr8	1800775	1801620	0.00740151	1197.5	1197.5
1620	2553.0	1800000.0	1800000.0	chr8	1801620	1802553	0.0451509	2086.5	2086.5
2553	2911.0	1800000.0	1800000.0	chr8	1802553	1802911	0.145695	2732.0	2732.0
2911	4937.0	1800000.0	1800000.0	chr8	1802911	1804937	0.40228	3924.0	3924.0
4937	6390.0	1800000.0	1800000.0	chr8	1804937	1806390	6.85438	5663.5	5663.5
6390	6920.0	1800000.0	1800000.0	chr8	1806390	1806920	18.2757	6655.0	6655.0
6920	8419.0	1800000.0	1800000.0	chr8	1806920	1808419	0.0816802	7669.5	7669.5
8419	12052.0	1800000.0	1800000.0	chr8	1808419	1812052	0.0232943	10235.5	10235.5
12052	12297.0	1800000.0	1800000.0	chr8	1812052	1812297	0.471615	12174.5	12174.5
12297	13173.0	1800000.0	1800000.0	chr8	1812297	1813173	1.17689	12735.0	12735.0
13173	13951.0	1800000.0	1800000.0	chr8	1813173	1813951	14.801	13562.0	13562.0
13951	14588.0	1800000.0	1800000.0	chr8	1813951	1814588	24.4948	14269.5	14269.5
14588	15333.0	1800000.0	1800000.0	chr8	1814588	1815333	1.85155	14960.5	14960.5
15333	17205.0	1800000.0	1800000.0	chr8	1815333	1817205	0.373369	16269.0	16269.0
17205	17824.0	1800000.0	1800000.0	chr8	1817205	1817824	0.149044	17514.5	17514.5
17824	18037.0	1800000.0	1800000.0	chr8	1817824	1818037	19.332	17930.5	17930.5
18037	18155.0	1800000.0	1800000.0	chr8	1818037	1818155	0.149044	18096.0	18096.0
18155	19838.0	1800000.0	1800000.0	chr8	1818155	1819838	0.0101789	18996.5	18996.5
19838	22197.0	1800000.0	1800000.0	chr8	1819838	1822197	0.225909	21017.5	21017.5
22197	23449.0	1800000.0	1800000.0	chr8	1822197	1823449	0.034528	22823.0	22823.0
23449	24475.0	1800000.0	1800000.0	chr8	1823449	1824475	1.86318	23962.0	23962.0
24475	26660.0	1800000.0	1800000.0	chr8	1824475	1826660	7.87866	25567.5	25567.5
26660	28146.0	1800000.0	1800000.0	chr8	1826660	1828146	1.19949	27403.0	27403.0
28146	29405.0	1800000.0	1800000.0	chr8	1828146	1829405	0.232248	28775.5	28775.5
29405	29584.0	1800000.0	1800000.0	chr8	1829405	1829584	0.155801	29494.5	29494.5
